"","datetime","depth","temp"
"1","1981-04-23T12:00:00Z",1,6.6
"2","1981-04-23T12:00:00Z",2,6.6
"3","1981-04-23T12:00:00Z",3,6.6
"4","1981-04-23T12:00:00Z",4,6.6
"5","1981-04-23T12:00:00Z",5,6.6
"6","1981-04-23T12:00:00Z",6,6.7
"7","1981-04-23T12:00:00Z",7,6.7
"8","1981-04-23T12:00:00Z",8,6.6
"9","1981-04-23T12:00:00Z",9,6.6
"10","1981-04-23T12:00:00Z",10,6.6
"11","1981-04-23T12:00:00Z",11,6.6
"12","1981-04-23T12:00:00Z",12,6.6
"13","1981-04-23T12:00:00Z",13,6.6
"14","1981-04-23T12:00:00Z",14,6.6
"15","1981-04-23T12:00:00Z",15,6.5
"16","1981-04-23T12:00:00Z",16,6.2
"17","1981-04-23T12:00:00Z",17,6
"18","1981-05-06T12:00:00Z",0,9
"19","1981-05-06T12:00:00Z",1,9
"20","1981-05-06T12:00:00Z",2,8.8
"21","1981-05-06T12:00:00Z",3,8.8
"22","1981-05-06T12:00:00Z",4,8.7
"23","1981-05-06T12:00:00Z",5,8.7
"24","1981-05-06T12:00:00Z",6,8.6
"25","1981-05-06T12:00:00Z",7,8.5
"26","1981-05-06T12:00:00Z",8,8.2
"27","1981-05-06T12:00:00Z",9,7.9
"28","1981-05-06T12:00:00Z",10,7.4
"29","1981-05-06T12:00:00Z",11,7
"30","1981-05-06T12:00:00Z",12,6.9
"31","1981-05-06T12:00:00Z",13,6.9
"32","1981-05-06T12:00:00Z",14,6.7
"33","1981-05-06T12:00:00Z",15,6.7
"34","1981-05-06T12:00:00Z",16,6.6
"35","1981-05-06T12:00:00Z",17,6.6
"36","1981-05-06T12:00:00Z",18,6.6
"37","1981-05-06T12:00:00Z",19,6.6
"38","1981-05-06T12:00:00Z",19.5,NA
"39","1981-05-20T12:00:00Z",0,12.9
"40","1981-05-20T12:00:00Z",1,12.9
"41","1981-05-20T12:00:00Z",2,12.8
"42","1981-05-20T12:00:00Z",3,12.6
"43","1981-05-20T12:00:00Z",4,12.3
"44","1981-05-20T12:00:00Z",5,11.5
"45","1981-05-20T12:00:00Z",6,10.7
"46","1981-05-20T12:00:00Z",7,10.4
"47","1981-05-20T12:00:00Z",8,10.1
"48","1981-05-20T12:00:00Z",9,9.7
"49","1981-05-20T12:00:00Z",10,9.3
"50","1981-05-20T12:00:00Z",11,8.8
"51","1981-05-20T12:00:00Z",12,8.2
"52","1981-05-20T12:00:00Z",13,7.6
"53","1981-05-20T12:00:00Z",14,7.5
"54","1981-05-20T12:00:00Z",15,7.5
