Depth,4/23/81,5/6/81,5/20/81,6/4/81,6/16/81,7/1/81,7/14/81,7/27/81,8/12/81,8/25/81,9/10/81,9/24/81,10/19/81,12/1/81,1/22/82,3/1/82,4/8/82,5/10/82,5/27/82,6/7/82,6/24/82,7/6/82,7/19/82,8/3/82,8/16/82,9/9/82,9/22/82,10/5/82,10/21/82,11/11/82
0,,9,12.9,17.2,18.8,20,23.6,21.7,22.1,21.8,19.3,16.7,10.9,3.3,0,0,0,8.1,16.5,16.9,17.3,22.9,23.6,22.6,22,18,15.5,14.8,10.3,6.7
1,6.6,9,12.9,16.8,18.9,20,23.7,21.6,22.1,21.8,19.3,,10.9,3.3,1.2,0.7,0.7,8,16.5,16.9,17.3,22.6,23.4,22.4,21.2,17.9,15.5,14.5,10.4,6.8
2,6.6,8.8,12.8,16.7,18.9,19.9,23.7,21.5,22.1,21.8,19.2,,10.9,3.4,1.9,1.7,2.2,7.9,16.5,16.8,17.3,22.4,23.3,22.3,21.1,17.9,15.4,14.4,10.4,6.8
3,6.6,8.8,12.6,16.7,18.8,19.9,23.7,21.4,22.1,21.7,19.2,16.7,10.9,3.3,2.1,2.3,2.7,7.8,15.6,16.7,17.3,22.2,23,22.2,21,17.9,15.4,14.4,10.4,6.8
4,6.6,8.7,12.3,16.3,18.8,19.8,23.6,21.3,22.1,21.7,19.2,,10.9,3.3,2.2,2.4,2.9,7.7,14.9,16.7,17.3,20.1,22.6,22.2,20.8,17.8,15.4,14.4,10.5,6.8
5,6.6,8.7,11.5,14.2,18.7,19.5,22,21.2,22.1,21.7,19.2,16.7,10.9,3.4,2.3,2.5,2.9,7.3,12.6,16.6,17.3,19.7,21.9,22.1,20.7,17.8,15.4,14.4,10.5,6.8
6,6.7,8.6,10.7,13.1,15.1,18.7,20.7,21.1,22,21.7,19.2,,10.9,3.4,2.4,2.6,2.9,6.9,10.9,12.6,17.2,18.3,21.2,21.7,20.6,17.7,15.4,14.4,10.5,6.8
7,6.7,8.5,10.4,12.2,13.2,16.8,18.2,20.8,21.7,21.7,19.2,,10.9,3.4,2.5,2.7,3,6.7,9.9,10.3,15.7,16.2,18.7,20.6,20.5,17.7,15.4,14.4,10.5,6.8
8,6.6,8.2,10.1,11.7,12.7,14.5,16.2,17.1,19.4,21,19.2,16.7,10.9,3.4,2.8,3.1,3.2,6.3,8.6,9.4,11.9,12.4,16,16.4,19,17.7,15.4,14.4,10.5,6.8
9,6.6,7.9,9.7,11.1,11.9,13.3,14.8,15.8,17,18.8,19.1,,10.9,3.4,3,3.2,3.5,5.9,7.5,8.6,10.3,11.9,13.4,14.2,15.8,17.6,15.3,14.3,10.5,6.8
10,6.6,7.4,9.3,10.5,11.1,12.5,13.8,14.8,15.9,16.9,18.9,16.7,10.8,3.4,3.2,3.5,3.9,5.6,6.7,8,9.3,10.7,12.4,13,13.5,17,15.3,14.3,10.5,6.8
11,6.6,7,8.8,9.9,10.6,11.8,13,13.9,14.9,15.7,16.7,,10.8,3.4,3.3,3.7,4,5.3,6.3,7.4,8.7,10,11.3,11.9,12.4,14.8,15.3,14.2,10.5,6.8
12,6.6,6.9,8.2,9.5,10.3,11.1,12.3,13.1,13.8,14.5,14.9,16.7,10.8,3.4,3.4,4,4.1,5.1,6.1,6.9,7.9,9.4,10.6,10.7,11.6,12.5,15.1,14.2,10.4,6.8
13,6.6,6.9,7.6,9,9.8,10.5,11.5,12.2,12.7,13.5,13.7,,10.8,3.4,3.5,4.1,4.2,5,5.7,6.5,7.3,8.8,9.7,9.8,10.1,11.3,11.6,13.4,10.4,6.8
14,6.6,6.7,7.5,8.6,9.4,10.5,11,11.5,12.1,12.7,13.1,,10.8,3.4,3.7,4.1,4.2,4.9,5.5,6,7,8.4,8.8,9.5,9.4,10.8,10.5,10.9,10.4,6.8
15,6.5,6.7,7.5,8.5,9,9.7,10.6,11,11.7,12,12.4,12.3,10.8,3.5,3.9,4.1,4.2,4.9,5.5,5.8,6.7,8.2,8.4,8.7,8.9,10.8,10,10.3,10.4,6.8
16,6.2,6.6,7.4,8.4,8.9,9.5,10.3,10.8,11.2,11.6,11.6,,10.8,3.5,4,4.2,4.2,4.8,5.3,5.7,6.4,8.2,8.4,8.4,8.6,10.1,9.5,9.6,10.4,6.8
17,6,6.6,7.3,8.2,8.7,9.4,10.2,10.5,11,11.3,11.3,11.5,10.8,3.5,4,4.2,4.3,4.8,5.2,5.6,6.2,7.4,8,8.2,8.5,10.1,9.2,9.2,10.4,6.8
18,,6.6,7.3,8.1,8.5,9.3,10,10.4,10.7,11.1,11.2,,10.8,3.5,4.1,4.3,4.4,4.8,5.2,5.5,6.2,7.3,8,8.1,8.3,9.5,9.1,8.9,10.3,6.8
19,,6.6,7.3,8,,9.3,10,10.2,10.6,10.9,10.9,11.3,10.8,3.5,4.1,4.4,4.4,4.8,5.2,5.4,6.1,7.2,8,8,8.2,8.9,9,8.9,10.1,6.8
20,,,7.3,,,,9.8,10.1,9.9,,10.7,,,,,,,4.8,,,,,,,,7.8,,,,
