time,Volume,Vol.Snow,Vol.Blue.Ice,Vol.White.Ice,Tot.Inflow.Vol,Tot.Outflow.Vol,Overflow.Vol,Evaporation,Rain,Local.Runoff,Snowfall,Lake.Level,Surface.Area,Blue.Ice.Thickness,Snow.Thickness,Snow.Density,White.Ice.Thickness,Albedo,Max.Temp,Min.Temp,Surface.Temp,Daily.Qsw,Daily.Qe,Daily.Qh,Daily.Qlw,Light,Benthic.Light,Surface.Wave.Height,Surface.Wave.Length,Surface.Wave.Period,LakeNumber,Max.dT.dz,CD,CHE,z.L,date_time,Daily.Qn
29224,164897816.1,0,0,0,0,0,1435.017507,0,1437.289258,0,0,35,10909187,0,0,0,0,0.099988,4.668926,1.611474,1.611474,67.614444,-26.812859,-47.151789,-159.176199,0,0,0.005768,0.161323,0.321443,477.268063,0.214851,0.0013,0.0013,0,1/4/1980,-17.597107
29225,164897816.1,0,0,0,0,0,87.135788,0,87.273496,0,0,35,10909187,0,0,0,0,0.099973,5.103811,0.000186,0.000186,68.05608,-16.773562,-35.463594,-167.013133,0,0,0.029988,0.759438,0.697432,68.566373,0.21485,0.0013,0.0013,0,1/5/1980,-46.719897
29226,164897816.1,0,0,0,0,0,126.16536,0,126.364749,0,0,35,10909187,0,0,0,0,0.099953,5.541679,0.000185,0.000185,68.579608,-12.246181,-24.977991,-164.030077,0,0,0.043398,1.088599,0.835005,45.527372,0.214848,0.0013,0.0013,0,1/6/1980,-58.226297
29227,164897816.1,0,0,0,0,0,122098.1165,0,122318.8476,0,0,35,10909187,0,0,0,0,0.099926,4.090866,4.090866,4.090866,40.61616,-53.208996,-81.423358,-106.540127,0,0,0.215266,5.039195,1.796536,0,0.259394,0.0013,0.0013,0,1/7/1980,68.708387
29228,164897816.1,0,0,0,0,0,60564.81904,0,60667.15967,0,0,35,10909187,0,0,0,0,0.099893,3.677686,3.594493,3.594493,23.951193,-98.553973,-171.913205,-109.822532,0,0,0.206683,4.854467,1.7633,146.516828,0.4262,0.0013,0.0013,0,1/8/1980,184.595839
29229,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.099855,3.679067,2.971671,2.971671,64.427188,-85.319947,-193.352011,-170.602812,0,0,0.161292,3.858958,1.572137,181.288691,0.466851,0.0013,0.0013,0,1/9/1980,172.496334
29230,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.099811,3.681336,1.981306,1.981306,73.216392,-67.282571,-180.841181,-200.757645,0,0,0.100488,2.465949,1.256746,200.533587,0.429845,0.0013,0.0013,0,1/10/1980,120.582499
29231,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.09976,3.684918,2.080182,2.080182,56.058404,-56.96428,-116.157513,-105.84095,0,0,0.321282,7.24425,2.154032,60.693279,0.429845,0.0013,0.0013,0,1/11/1980,123.339247
29232,164897816.1,0,0,0,0,0,38515.107,0,38578.45415,0,0,35,10909187,0,0,0,0,0.099704,3.199181,1.908728,1.908728,43.469986,-83.210423,-149.077264,-82.995984,0,0,0.442272,9.628711,2.483359,56.318993,0.429644,0.0013,0.0013,0,1/12/1980,192.761689
29233,164897816.1,0,0,0,0,0,15048.16904,0,15072.20441,0,0,35,10909187,0,0,0,0,0.099643,2.896093,1.09592,1.09592,69.533471,-94.339205,-230.608528,-164.016926,0,0,0.181068,4.296775,1.658925,92.13498,0.469789,0.0013,0.0013,0,1/13/1980,230.464278
29234,164897816.1,0,0,0,0,0,24136.43172,0,24175.14813,0,0,35,10909187,0,0,0,0,0.099575,2.672942,1.063825,1.063825,42.737941,-68.929017,-109.263072,-69.382931,0,0,0.235881,5.478476,1.873205,156.568801,0.26366,0.0013,0.0013,0,1/14/1980,151.547099
29235,164897816.1,0,0,0,0,0,34368.62437,0,34422.9707,0,0,35,10909187,0,0,0,0,0.099501,2.673676,0.080057,0.080057,51.497341,-26.604478,-45.683249,-121.843139,0,0,0.103996,2.548445,1.277595,63.921176,0.26366,0.0013,0.0013,0,1/15/1980,1.941929
29236,164897816.1,0,0,0,0,0,42222.73478,0,42291.98322,0,0,35,10909187,0,0,0,0,0.099422,2.652382,0.809365,0.809365,29.061274,-20.15026,-26.667279,-54.920511,0,0,0.10697,2.618171,1.294954,472.679589,0.376636,0.0013,0.0013,0,1/16/1980,20.958302
29237,164897816.1,0,0,0,0,0,146456.562,0,146729.3817,0,0,35,10909187,0,0,0,0,0.099337,2.667318,0.764217,0.764217,23.267345,-4.325936,-3.696869,-36.328139,0,0,0.122597,2.981424,1.38187,349.791759,0.337078,0.0013,0.0013,0,1/17/1980,-5.037989
29238,164897816.1,0,0,0,0,0,34035.60182,0,34091.53565,0,0,35,10909187,0,0,0,0,0.099246,2.657419,0.683041,0.683041,30.335365,-14.306773,-15.884054,-48.411915,0,0,0.103758,2.542859,1.276194,445.660292,0.310581,0.0013,0.0013,0,1/18/1980,12.114277
29239,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.09915,2.674531,0.323978,0.323978,68.161729,-12.633326,-16.245613,-78.154426,0,0,0.102475,2.51271,1.268606,161.657321,0.286306,0.0013,0.0013,0,1/19/1980,18.886242
29240,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.099048,2.673132,0.579739,0.579739,73.964755,-32.911161,-60.912566,-145.195905,0,0,0.132921,3.21843,1.435745,271.814314,0.475475,0.0013,0.0013,0,1/20/1980,22.592577
29241,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.09894,2.679667,0.225898,0.225898,62.598745,-33.990887,-69.561539,-148.676408,0,0,0.1198,2.916748,1.3668,203.572309,0.422462,0.0013,0.0013,0,1/21/1980,17.474763
29242,164897816.1,0,0,0,0,0,0,0,0,0,0,35,10909187,0,0,0,0,0.098826,2.677006,0.128451,0.128451,79.657376,-33.329296,-63.35601,-144.044985,0,0,0.126251,3.065525,1.401225,200.773705,0.277471,0.0013,0.0013,0,1/22/1980,32.297697
29243,164403169.2,0,523715.0592,0,0,0,0,-1769.381369,29321.82028,0,0,34.954416,10887149.2,0.052458,0,0,0,0.08,2.636507,0.317273,0.317273,41.767509,-41.974133,-63.55704,-83.50565,0,0,0.283872,6.480707,2.037355,121.784321,0.427323,0.0013,0.0013,0,1/23/1980,63.793032
29244,164105447.5,0,805842.3673,0,0,0,0,-15560.33913,0,0,0,34.92698,10873884.92,0.080816,0,100,0,0.161812,2.658456,0.543552,0.543552,59.552988,-40.627316,-0.00258,-90.075584,0,0,0.283872,6.480707,2.037355,566.646565,0.464943,0.0013,0.0013,0,1/24/1980,10.1073
29245,163896303.4,0,1007016.101,0,0,0,0,-7522.221001,0,0,0,34.907706,10864567,0.101078,0,100,0,0.246077,2.678899,0.690469,0.690469,41.781003,-19.657011,-0.002639,-79.025774,0,0,0.283872,6.480707,2.037355,5838.776997,0.344345,0.0013,0.0013,0,1/25/1980,-17.585121
29246,163704731.1,0,1190272.192,0,0,0,0,-8003.10367,0,0,0,34.890015,10856021.54,0.119566,0,100,0,0.271319,2.697936,0.841493,0.841493,69.288685,-20.930112,-0.001646,-84.726591,0,0,0.283872,6.480707,2.037355,328.13285,0.354288,0.0013,0.0013,0,1/26/1980,5.493852
29247,163481005.5,0,1405638.122,0,0,0,0,-7984.33345,0,0,0,34.86932,10846032.39,0.14133,0,100,0,0.288604,2.715611,0.979267,0.979267,39.965766,-20.900255,-0.00248,-89.119198,0,0,0.283872,6.480707,2.037355,1080.795581,0.356867,0.0013,0.0013,0,1/27/1980,-28.250697
29248,163336854.4,0,1541151.624,0,0,0,0,-8182.785159,0,0,0,34.855986,10839596.17,0.155047,0,100,0,0.305125,2.732007,1.055577,1.055577,25.751739,-21.432452,-0.002254,-56.150786,0,0,0.283872,6.480707,2.037355,443.029476,0.36811,0.0013,0.0013,0,1/28/1980,-8.964341
29249,163176661.1,0,1694454.418,0,0,0,0,-6188.903735,0,0,0,34.841168,10832443.68,0.170582,0,100,0,0.314121,2.747208,1.151357,1.151357,45.099617,-16.220756,-0.002079,-77.569707,0,0,0.283872,6.480707,2.037355,808.445787,0.259187,0.0013,0.0013,0,1/29/1980,-16.247255
29250,163031683.6,0,1831692.058,0,0,0,0,-6927.028004,0,0,0,34.827758,10825970.57,0.184508,0,100,0,0.323339,2.761278,1.237504,1.237504,50.089146,-18.166192,-0.001785,-74.185712,0,0,0.283872,6.480707,2.037355,657.282737,0.279023,0.0013,0.0013,0,1/30/1980,-5.928589
29251,162875019.8,0,1982316.401,0,0,0,0,-4969.956271,0,0,0,34.813266,10818975.66,0.19981,0,100,0,0.330901,2.774283,1.331791,1.331791,59.995095,-13.042181,-0.002023,-90.464021,0,0,0.283872,6.480707,2.037355,1410.162898,0.228495,0.0013,0.0013,0,1/31/1980,-17.424722
29252,162749719.6,0,2101731.828,0,0,0,0,-4886.89703,0,0,0,34.801676,10813381.12,0.211956,0,100,0,0.338586,2.786286,1.409556,1.409556,62.790382,-12.830852,-0.001558,-82.38575,0,0,0.283872,6.480707,2.037355,655.572588,0.221374,0.0013,0.0013,0,2/1/1980,-6.762958
29253,162595349.7,0,2251185.164,0,0,0,0,-4022.069145,0,0,0,34.787349,10806475.42,0.227174,0,100,0,0.344292,2.797346,1.494327,1.494327,56.790046,-10.566941,-0.00163,-94.710648,0,0,0.283872,6.480707,2.037355,1709.46687,0.221224,0.0013,0.0013,0,2/2/1980,-27.352031
29254,162492881,0,2350415.835,0,0,0,0,-2581.451638,0,0,0,34.777835,10801890.35,0.237288,0,100,0,0.351022,1.568446,1.188582,1.188582,58.94049,-6.784972,-0.001415,-81.224805,0,0,0.283872,6.480707,2.037355,15.056959,0.294897,0.0013,0.0013,0,2/3/1980,-15.497928
29255,162347649.5,0,2490515.287,0,0,0,0,-4054.406525,0,0,0,34.764351,10795391.8,0.251583,0,100,0,0.355268,1.641646,1.641646,1.641646,70.649036,-10.662835,-0.00152,-100.051512,0,0,0.283872,6.480707,2.037355,0,0.259966,0.0013,0.0013,0,2/4/1980,-18.738121
29256,162190942.1,0,2643716.171,0,0,0,0,-2150.052594,0,0,0,34.749801,10788379.76,0.267232,0,100,0,0.360996,1.73888,1.470479,1.470479,70.210989,-5.658179,-0.001471,-111.433489,0.844594,0,0.283872,6.480707,2.037355,12.070341,0.3358,0.0013,0.0013,0,2/5/1980,-35.56285
29257,162136048,0,2693866.1,0,0,0,0,-4221.355033,0,0,0,34.744704,10785923.46,0.272364,0,100,0,0.36694,1.786001,1.019909,1.019909,59.701623,-11.111645,-0.000981,-63.737844,1.70993,0,0.283872,6.480707,2.037355,13.463997,0.43353,0.0013,0.0013,0,2/6/1980,7.076405
29258,162048103.2,0,2778331.205,0,0,0,0,-2590.464637,0,0,0,34.736538,10781988.27,0.281006,0,100,0,0.368822,1.830335,1.445263,1.445263,70.196514,-6.821229,-0.000779,-84.428389,2.875919,0,0.283872,6.480707,2.037355,11.318383,0.246861,0.0013,0.0013,0,2/7/1980,-7.409867
29259,161930216,0,2893052.33,0,0,0,0,-1875.902064,0,0,0,34.725593,10776713.27,0.292753,0,100,0,0.371922,1.900503,1.381911,1.381911,72.047216,-4.942056,-0.000774,-101.661323,3.772098,0,0.283872,6.480707,2.037355,23.020969,0.246762,0.0013,0.0013,0,2/8/1980,-24.671277
29260,161842763.8,0,2978444.335,0,0,0,0,-1029.266764,0,0,0,34.717473,10772800.13,0.301503,0,100,0,0.376005,1.958046,1.199953,1.199953,72.108993,-2.712584,-0.000596,-93.744191,4.367236,0,0.283872,6.480707,2.037355,28.308852,0.274251,0.0013,0.0013,0,2/9/1980,-18.922018
29261,161821047,0,2997553.566,0,0,0,0,-2341.627875,0,0,0,34.715456,10771828.38,0.303465,0,100,0,0.378954,1.990389,0.853161,0.853161,64.37066,-6.171806,-0.000741,-56.996101,5.058568,0,0.283872,6.480707,2.037355,12.800354,0.298564,0.0013,0.0013,0,2/10/1980,13.547106
29262,161755270.8,0,3057438.586,0,0,0,0,-5061.432328,0,0,0,34.709349,10768885.15,0.309612,0,100,0,0.379605,2.021171,1.106475,1.106475,26.026884,-13.344014,-0.000832,-44.886421,2.222286,0,0.283872,6.480707,2.037355,15.372713,0.2526,0.0013,0.0013,0,2/11/1980,-5.514691
